avg_latency_ms,avg_retries,calls,condition,first_try_valid,model,output_dir,pass_at_1,pass_at_1_low,pass_at_1_medium,pass_at_1_overall,selections,steps,tasks,token_input,token_output,tool_select_acc,tool_switches
8.386465500000403,0.5,6.0,,0.6666666666666666,,,0.0,0.0,,0.0,3.0,6.0,3,3884.5,189.0,0.3333333333333333,2.0
10.634166583333714,0.16666666666666666,12.0,,0.75,,,0.75,0.8,0.7142857142857143,0.75,3.0,12.0,3,20796.75,792.0,1.0,2.0
8.329031166666093,0.16666666666666666,12.0,,0.75,,,0.75,0.8,0.7142857142857143,0.75,3.0,12.0,3,20959.25,968.0,1.0,2.0
8.584287727276516,0.18181818181818182,11.0,,0.6363636363636364,,,0.6363636363636364,0.6363636363636364,,0.6363636363636364,3.0,11.0,3,10491.5,569.5,0.3333333333333333,3.0
9.264342555555219,0.2222222222222222,9.0,,1.0,,,0.5555555555555556,0.0,0.7142857142857143,0.5555555555555556,3.0,9.0,3,15828.25,831.0,1.0,2.0
10.634166583333714,0.16666666666666666,12.0,BASE,0.75,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_small/qwen2-5-7b-instruct_base,0.75,0.8,0.7142857142857143,0.75,3.0,12.0,3,20796.75,792.0,1.0,2.0
8.584287727276516,0.18181818181818182,11.0,+RET,0.6363636363636364,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_small/qwen2-5-7b-instruct_ret,0.6363636363636364,0.6363636363636364,,0.6363636363636364,3.0,11.0,3,10491.5,569.5,0.3333333333333333,3.0
9.264342555555219,0.2222222222222222,9.0,+WRAP,1.0,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_small/qwen2-5-7b-instruct_wrap,0.5555555555555556,0.0,0.7142857142857143,0.5555555555555556,3.0,9.0,3,15828.25,831.0,1.0,2.0
8.329031166666093,0.16666666666666666,12.0,+SLOT,0.75,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_small/qwen2-5-7b-instruct_slot,0.75,0.8,0.7142857142857143,0.75,3.0,12.0,3,20959.25,968.0,1.0,2.0
8.386465500000403,0.5,6.0,FULL,0.6666666666666666,"{'provider': 'ollama', 'name': 'qwen2.5:7b-instruct', 'base_url': 'http://localhost:11434'}",runs/qwen_ablation_small/qwen2-5-7b-instruct_full,0.0,0.0,,0.0,3.0,6.0,3,3884.5,189.0,0.3333333333333333,2.0
